 v-sweep         i(Vmeas1)       v(W)           
 1.09000000e+00  9.93930352e-04  1.09000000e+00 
 1.10000000e+00  1.02643178e-03  1.10000000e+00 
 1.11000000e+00  1.05928113e-03  1.11000000e+00 
 1.12000000e+00  1.09247023e-03  1.12000000e+00 
 1.13000000e+00  1.12599067e-03  1.13000000e+00 
 1.14000000e+00  1.15983383e-03  1.14000000e+00 
 1.15000000e+00  1.19399089e-03  1.15000000e+00 
 1.16000000e+00  1.22845279e-03  1.16000000e+00 
 1.17000000e+00  1.26321026e-03  1.17000000e+00 
 1.18000000e+00  1.29825382e-03  1.18000000e+00 
 1.19000000e+00  1.33357381e-03  1.19000000e+00 
 1.20000000e+00  1.36916036e-03  1.20000000e+00 
 1.21000000e+00  1.40500344e-03  1.21000000e+00 
 1.22000000e+00  1.44109291e-03  1.22000000e+00 
 1.23000000e+00  1.47741855e-03  1.23000000e+00 
 1.24000000e+00  1.51397008e-03  1.24000000e+00 
 1.25000000e+00  1.55073726e-03  1.25000000e+00 
 1.26000000e+00  1.58770995e-03  1.26000000e+00 
 1.27000000e+00  1.62487819e-03  1.27000000e+00 
 1.28000000e+00  1.66223230e-03  1.28000000e+00 
 1.29000000e+00  1.69976294e-03  1.29000000e+00 
 1.30000000e+00  1.73746127e-03  1.30000000e+00 
 1.31000000e+00  1.77531896e-03  1.31000000e+00 
 1.32000000e+00  1.81332836e-03  1.32000000e+00 
 1.33000000e+00  1.85148245e-03  1.33000000e+00 
 1.34000000e+00  1.88977490e-03  1.34000000e+00 
 1.35000000e+00  1.92819994e-03  1.35000000e+00 
 1.36000000e+00  1.96675207e-03  1.36000000e+00 
 1.37000000e+00  2.00542564e-03  1.37000000e+00 
 1.38000000e+00  2.04421411e-03  1.38000000e+00 
 1.39000000e+00  2.08310911e-03  1.39000000e+00 
 1.40000000e+00  2.12209936e-03  1.40000000e+00 
 1.41000000e+00  2.16116965e-03  1.41000000e+00 
 1.42000000e+00  2.20030041e-03  1.42000000e+00 
 1.43000000e+00  2.23946863e-03  1.43000000e+00 
 1.44000000e+00  2.27865091e-03  1.44000000e+00 
 1.45000000e+00  2.31782871e-03  1.45000000e+00 
 1.46000000e+00  2.35699369e-03  1.46000000e+00 
 1.47000000e+00  2.39614932e-03  1.47000000e+00 
 1.48000000e+00  2.43530643e-03  1.48000000e+00 
 1.49000000e+00  2.47447559e-03  1.49000000e+00 
 1.50000000e+00  2.51366129e-03  1.50000000e+00 
 1.51000000e+00  2.55286003e-03  1.51000000e+00 
 1.52000000e+00  2.59206134e-03  1.52000000e+00 
 1.53000000e+00  2.63124982e-03  1.53000000e+00 
 1.54000000e+00  2.67040698e-03  1.54000000e+00 
 1.55000000e+00  2.70951260e-03  1.55000000e+00 
 1.56000000e+00  2.74854556e-03  1.56000000e+00 
 1.57000000e+00  2.78748431e-03  1.57000000e+00 
 1.58000000e+00  2.82630721e-03  1.58000000e+00 
 1.59000000e+00  2.86499271e-03  1.59000000e+00 
 1.60000000e+00  2.90351944e-03  1.60000000e+00 
 1.61000000e+00  2.94186639e-03  1.61000000e+00 
 1.62000000e+00  2.98001295e-03  1.62000000e+00 
 1.63000000e+00  3.01793908e-03  1.63000000e+00 
 1.64000000e+00  3.05562538e-03  1.64000000e+00 
 1.65000000e+00  3.09305326e-03  1.65000000e+00 
 1.66000000e+00  3.13020504e-03  1.66000000e+00 
 1.67000000e+00  3.16706410e-03  1.67000000e+00 
 1.68000000e+00  3.20361499e-03  1.68000000e+00 
 1.69000000e+00  3.23984355e-03  1.69000000e+00 
 1.70000000e+00  3.27573703e-03  1.70000000e+00 
 1.71000000e+00  3.31128409e-03  1.71000000e+00 
 1.72000000e+00  3.34647496e-03  1.72000000e+00 
 1.73000000e+00  3.38130134e-03  1.73000000e+00 
 1.74000000e+00  3.41575648e-03  1.74000000e+00 
 1.75000000e+00  3.44983510e-03  1.75000000e+00 
 1.76000000e+00  3.48353333e-03  1.76000000e+00 
 1.77000000e+00  3.51684866e-03  1.77000000e+00 
 1.78000000e+00  3.54977979e-03  1.78000000e+00 
 1.79000000e+00  3.58232656e-03  1.79000000e+00 
 1.80000000e+00  3.61448982e-03  1.80000000e+00 
